number,Date,Holiday
181,1/21/2002,"Martin Luther King, Jr. Day"
182,2/18/2002,Washington’s Birthday
183,5/27/2002,Memorial Day
184,7/4/2002,Independence Day
185,9/2/2002,Labor Day
186,10/14/2002,Columbus Day
187,11/11/2002,Veterans Day
188,11/28/2002,Thanksgiving Day
189,12/25/2002,Christmas Day
190,1/1/2001,New Year’s Day
191,1/15/2001,"Martin Luther King, Jr. Day"
192,2/19/2001,Washington’s Birthday
193,5/28/2001,Memorial Day
194,7/4/2001,Independence Day
195,9/3/2001,Labor Day
196,10/8/2001,Columbus Day
197,11/11/2001,Veterans Day
198,11/22/2001,Thanksgiving Day
199,12/25/2001,Christmas Day
200,1/1/2000,New Year’s Day
201,1/17/2000,"Martin Luther King, Jr. Day"
202,2/21/2000,Washington’s Birthday
203,5/29/2000,Memorial Day
204,7/4/2000,Independence Day
205,9/4/2000,Labor Day
206,10/9/2000,Columbus Day
207,11/11/2000,Veterans Day
208,11/23/2000,Thanksgiving Day
209,12/25/2000,Christmas Day
210,1/1/1999,New Year’s Day
211,1/18/1999,"Martin Luther King, Jr. Day"
212,2/15/1999,Washington’s Birthday
213,5/31/1999,Memorial Day
214,7/4/1999,Independence Day
215,9/6/1999,Labor Day
216,10/11/1999,Columbus Day
217,11/11/1999,Veterans Day
218,11/25/1999,Thanksgiving Day
219,12/25/1999,Christmas Day
220,1/1/1998,New Year’s Day
221,1/19/1998,"Martin Luther King, Jr. Day"
222,2/16/1998,Washington’s Birthday
223,5/25/1998,Memorial Day
224,7/4/1998,Independence Day
225,9/7/1998,Labor Day
226,10/12/1998,Columbus Day
227,11/11/1998,Veterans Day
228,11/26/1998,Thanksgiving Day
229,12/25/1998,Christmas Day
230,1/1/1997,New Year’s Day
231,1/20/1997,"Martin Luther King, Jr. Day"
232,2/17/1997,Washington’s Birthday
233,5/26/1997,Memorial Day
234,7/4/1997,Independence Day
235,9/1/1997,Labor Day
236,10/13/1997,Columbus Day
237,11/11/1997,Veterans Day
238,11/27/1997,Thanksgiving Day
239,12/25/1997,Christmas Day
240,1/1/1996,New Year’s Day
241,1/15/1996,"Martin Luther King, Jr. Day"
242,2/19/1996,Washington’s Birthday
243,5/27/1996,Memorial Day
244,7/4/1996,Independence Day
245,9/2/1996,Labor Day
246,10/14/1996,Columbus Day
247,11/11/1996,Veterans Day
248,11/28/1996,Thanksgiving Day
249,12/25/1996,Christmas Day
250,1/1/1995,New Year’s Day
251,1/16/1995,"Martin Luther King, Jr. Day"
252,2/20/1995,Washington’s Birthday
253,5/29/1995,Memorial Day
254,7/4/1995,Independence Day
255,9/4/1995,Labor Day
256,10/9/1995,Columbus Day
257,11/11/1995,Veterans Day
258,11/23/1995,Thanksgiving Day
259,12/25/1995,Christmas Day
260,1/1/1994,New Year’s Day
261,1/17/1994,"Martin Luther King, Jr. Day"
262,2/21/1994,Washington’s Birthday
263,5/30/1994,Memorial Day
264,7/4/1994,Independence Day
265,9/5/1994,Labor Day
266,10/10/1994,Columbus Day
267,11/11/1994,Veterans Day
268,11/24/1994,Thanksgiving Day
269,12/25/1994,Christmas Day
270,1/1/1993,New Year’s Day
271,1/18/1993,"Martin Luther King, Jr. Day"
272,2/15/1993,Washington’s Birthday
273,5/31/1993,Memorial Day
274,7/4/1993,Independence Day
275,9/6/1993,Labor Day
276,10/11/1993,Columbus Day
277,11/11/1993,Veterans Day
278,11/25/1993,Thanksgiving Day
279,12/25/1993,Christmas Day
280,1/1/1992,New Year’s Day
281,1/20/1992,"Martin Luther King, Jr. Day"
282,2/17/1992,Washington’s Birthday
283,5/25/1992,Memorial Day
284,7/4/1992,Independence Day
285,9/7/1992,Labor Day
286,10/12/1992,Columbus Day
287,11/11/1992,Veterans Day
288,11/26/1992,Thanksgiving Day
289,12/25/1992,Christmas Day
290,1/1/1991,New Year’s Day
291,1/21/1991,"Martin Luther King, Jr. Day"
292,2/18/1991,Washington’s Birthday
293,5/27/1991,Memorial Day
294,7/4/1991,Independence Day
295,9/2/1991,Labor Day
296,10/14/1991,Columbus Day
297,11/11/1991,Veterans Day
298,11/28/1991,Thanksgiving Day
299,12/25/1991,Christmas Day
300,1/1/1990,New Year’s Day
301,1/15/1990,"Martin Luther King, Jr. Day"
302,2/19/1990,Washington’s Birthday
303,5/28/1990,Memorial Day
304,7/4/1990,Independence Day
305,9/3/1990,Labor Day
306,10/8/1990,Columbus Day
307,11/11/1990,Veterans Day
308,11/22/1990,Thanksgiving Day
309,12/25/1990,Christmas Day
310,1/1/1989,New Year’s Day
311,1/16/1989,"Martin Luther King, Jr. Day"
312,2/20/1989,Washington’s Birthday
313,5/29/1989,Memorial Day
314,7/4/1989,Independence Day
315,9/4/1989,Labor Day
316,10/9/1989,Columbus Day
317,11/11/1989,Veterans Day
318,11/23/1989,Thanksgiving Day
319,12/25/1989,Christmas Day
320,1/1/1988,New Year’s Day
321,1/18/1988,"Martin Luther King, Jr. Day"
322,2/15/1988,Washington’s Birthday
323,5/30/1988,Memorial Day
324,7/4/1988,Independence Day
325,9/5/1988,Labor Day
326,10/10/1988,Columbus Day
327,11/11/1989,Veterans Day
328,11/24/1988,Thanksgiving Day
329,12/25/1988,Christmas Day
330,1/1/1987,New Year’s Day
331,1/19/1987,"Martin Luther King, Jr. Day"
332,2/16/1987,Washington’s Birthday
333,5/25/1987,Memorial Day
334,7/4/1987,Independence Day
335,9/7/1987,Labor Day
336,10/12/1987,Columbus Day
337,11/11/1987,Veterans Day
338,11/26/1987,Thanksgiving Day
339,12/25/1987,Christmas Day
340,1/1/1986,New Year’s Day
341,1/20/1986,"Martin Luther King, Jr. Day"
342,2/17/1986,Washington’s Birthday
343,5/26/1986,Memorial Day
344,7/4/1986,Independence Day
345,9/1/1986,Labor Day
346,10/13/1986,Columbus Day
347,11/11/1986,Veterans Day
348,11/27/1986,Thanksgiving Day
349,12/25/1986,Christmas Day
350,1/1/1985,New Year’s Day
351,1/21/1985,"Martin Luther King, Jr. Day"
352,2/18/1985,Washington’s Birthday
353,5/27/1985,Memorial Day
354,7/4/1985,Independence Day
355,9/2/1985,Labor Day
356,10/14/1985,Columbus Day
357,11/11/1985,Veterans Day
358,11/28/1985,Thanksgiving Day
359,12/25/1985,Christmas Day
360,1/1/1984,New Year’s Day
361,2/20/1984,Washington’s Birthday
362,5/28/1984,Memorial Day
363,7/4/1984,Independence Day
364,9/3/1984,Labor Day
365,10/8/1984,Columbus Day
366,11/11/1984,Veterans Day
367,11/22/1984,Thanksgiving Day
368,12/25/1984,Christmas Day
369,1/1/1983,New Year’s Day
370,2/21/1983,Washington’s Birthday
371,5/30/1983,Memorial Day
372,7/4/1983,Independence Day
373,9/5/1983,Labor Day
374,10/10/1983,Columbus Day
375,11/11/1983,Veterans Day
376,11/24/1983,Thanksgiving Day
377,12/25/1983,Christmas Day
378,1/1/1982,New Year’s Day
379,2/15/1982,Washington’s Birthday
380,5/31/1982,Memorial Day
381,7/4/1982,Independence Day
382,9/6/1982,Labor Day
383,10/11/1982,Columbus Day
384,11/11/1982,Veterans Day
385,11/25/1982,Thanksgiving Day
386,12/25/1982,Christmas Day
387,1/1/1981,New Year’s Day
388,2/16/1981,Washington’s Birthday
389,5/25/1981,Memorial Day
390,7/4/1981,Independence Day
391,9/7/1981,Labor Day
392,10/12/1981,Columbus Day
393,11/11/1981,Veterans Day
394,11/26/1981,Thanksgiving Day
395,12/25/1981,Christmas Day
396,1/1/1980,New Year’s Day
397,2/18/1980,Washington’s Birthday
398,5/26/1980,Memorial Day
399,7/4/1980,Independence Day
400,9/1/1980,Labor Day
401,10/13/1980,Columbus Day
402,11/11/1980,Veterans Day
403,11/27/1980,Thanksgiving Day
404,12/25/1980,Christmas Day
405,1/1/1979,New Year’s Day
406,2/19/1979,Washington’s Birthday
407,5/28/1979,Memorial Day
408,7/4/1979,Independence Day
409,9/3/1979,Labor Day
410,10/8/1979,Columbus Day
411,11/11/1979,Veterans Day
412,11/22/1979,Thanksgiving Day
413,12/25/1979,Christmas Day
414,1/1/1978,New Year’s Day
415,2/20/1978,Washington’s Birthday
416,5/29/1978,Memorial Day
417,7/4/1978,Independence Day
418,9/4/1978,Labor Day
419,10/9/1978,Columbus Day
420,11/11/1978,Veterans Day
421,11/23/1978,Thanksgiving Day
422,12/25/1978,Christmas Day
423,1/1/1977,New Year’s Day
424,2/21/1977,Washington’s Birthday
425,5/30/1977,Memorial Day
426,7/4/1977,Independence Day
427,9/5/1977,Labor Day
428,10/10/1977,Columbus Day
429,11/11/1977,Veterans Day
430,11/24/1977,Thanksgiving Day
431,12/25/1977,Christmas Day
432,1/1/1976,New Year’s Day
433,2/16/1976,Washington’s Birthday
434,5/31/1976,Memorial Day
435,7/4/1976,Independence Day
436,9/6/1976,Labor Day
437,10/11/1976,Columbus Day
438,11/11/1976,Veterans Day
439,11/25/1976,Thanksgiving Day
440,12/25/1976,Christmas Day
441,1/1/1975,New Year’s Day
442,2/17/1975,Washington’s Birthday
443,5/26/1975,Memorial Day
444,7/4/1975,Independence Day
445,9/1/1975,Labor Day
446,10/13/1975,Columbus Day
447,11/11/1975,Veterans Day
448,11/27/1975,Thanksgiving Day
449,12/25/1975,Christmas Day
450,1/1/1974,New Year’s Day
451,2/18/1974,Washington’s Birthday
452,5/27/1974,Memorial Day
453,7/4/1974,Independence Day
454,9/2/1974,Labor Day
455,10/14/1974,Columbus Day
456,11/11/1974,Veterans Day
457,11/28/1974,Thanksgiving Day
458,12/25/1974,Christmas Day
459,1/1/1973,New Year’s Day
460,2/19/1973,Washington’s Birthday
461,5/28/1973,Memorial Day
462,7/4/1973,Independence Day
463,9/3/1973,Labor Day
464,10/8/1973,Columbus Day
465,11/11/1973,Veterans Day
466,11/22/1973,Thanksgiving Day
467,12/25/1973,Christmas Day
468,1/1/1972,New Year’s Day
469,2/21/1972,Washington’s Birthday
470,5/29/1972,Memorial Day
471,7/4/1972,Independence Day
472,9/4/1972,Labor Day
473,10/9/1972,Columbus Day
474,11/11/1972,Veterans Day
475,11/23/1972,Thanksgiving Day
476,12/25/1972,Christmas Day
477,1/1/1966,New Year’s Day
478,2/22/1966,Washington’s Birthday
479,7/4/1966,Independence Day
480,9/5/1966,Labor Day
481,10/12/1966,Columbus Day
482,11/11/1966,Veterans Day
483,11/24/1966,Thanksgiving Day
484,12/25/1966,Christmas Day
