CompanyNo,Gender,Age,Educationcoded,children,sectorcode,popperlesshS,population,popbelowpovlevel,percentmenbusiness,percentfemalebusiness,implicitatt,exp1career,exp2fam,Slopeafterhire,fullslope
101,2,66,4,3,61,11.4,6070944,15.4,56.7,43.3,0.369366075,4.301639344,3.340104849,-0.007630124,-0.007630124
102,2,60,3,2,61,11.4,6070944,15.4,56.7,43.3,0.369366075,4.301639344,3.340104849,-0.005445733,-0.005445733
103,2,57,3,,47,17,169808,9.1,60.1,39.9,0.351303711,4.612903226,3.709677419,-0.008658394,-0.008658394
104,1,52,4,3,62,10.8,1981616,8,54.5,45.5,0.315941432,4.380359613,3.434210526,-0.008719128,-0.008719128
105,2,59,1,2,56,8.8,1575907,14,52.8,47.2,0.345672708,4.295508274,3.513577332,0.004976567,0.004976567
106,2,65,4,4,56,8.8,1575907,14,52.8,47.2,0.345672708,4.295508274,3.513577332,-0.002187546,-0.001939499
107,2,72,3,3,56,8.8,1575907,14,52.8,47.2,0.345672708,4.295508274,3.513577332,-0.004342706,-0.003917779
108,2,59,1,3,56,8.8,1575907,14,52.8,47.2,0.345672708,4.295508274,3.513577332,0.009426332,0.009426332
109,1,60,4,,56,8.8,1575907,14,52.8,47.2,0.345672708,4.295508274,3.513577332,0.009287865,0.009287865
110,2,62,4,,56,8.8,1575907,14,52.8,47.2,0.345672708,4.295508274,3.513577332,0.001129922,0.001129922
111,2,59,3,3,56,8.8,1575907,14,52.8,47.2,0.345672708,4.295508274,3.513577332,0.00812553,0.00812553
112,2,55,4,,56,8.8,1575907,14,52.8,47.2,0.345672708,4.295508274,3.513577332,0.002817541,0.002864123
113,2,57,4,,56,8.8,1575907,14,52.8,47.2,0.345672708,4.295508274,3.513577332,0.009441877,0.009441877
114,2,50,4,,56,8.8,1575907,14,52.8,47.2,0.345672708,4.295508274,3.513577332,-0.000350427,-0.000350427
115,2,59,3,,56,8.8,1575907,14,52.8,47.2,0.345672708,4.295508274,3.513577332,-2.46E-05,-2.46E-05
116,2,57,2,,56,8.8,1575907,14,52.8,47.2,0.345672708,4.295508274,3.513577332,0.010775166,0.010647824
117,1,60,4,2,56,8.8,1575907,14,52.8,47.2,0.345672708,4.295508274,3.513577332,-0.000581013,-0.00154625
118,2,57,4,,56,8.8,1575907,14,52.8,47.2,0.345672708,4.295508274,3.513577332,0.006072872,0.006072872
119,2,60,4,2,32,8.8,1575907,14,52.8,47.2,0.345672708,4.295508274,3.513577332,0.008494211,0.007295262
120,2,62,3,2,63,7,3557528,9,53.2,46.8,0.346231977,4.305490654,3.479087452,0.009674173,0.009674173
121,2,50,4,,64,7.8,382720,13.1,54.4,45.6,0.389708894,4.154639175,3.422680412,0.000579872,0.00039139
122,2,59,1,6,65,12.5,178550,23.2,53.3,46.7,0.226706555,4.470588235,3.176470588,0.003473417,0.002782918
123,2,61,3,,32,7.1,1209367,10.1,53.8,46.2,0.385577756,4.342,3.488977956,0.000356787,0.000372013
124,2,59,4,,44,13.2,19990592,13.4,56.3,43.7,0.341154665,4.336801582,3.404640516,0.003769673,0.003769673
125,2,66,3,,43,13.2,19990592,13.4,56.3,43.7,0.341154665,4.336801582,3.404640516,,
126,1,59,1,2,43,13.2,19990592,13.4,56.3,43.7,0.341154665,4.336801582,3.404640516,-0.00956971,-0.00956971
127,2,57,4,,66,13.2,19990592,13.4,56.3,43.7,0.341154665,4.336801582,3.404640516,0.007243842,0.007243842
128,2,59,1,2,66,13.2,19990592,13.4,56.3,43.7,0.341154665,4.336801582,3.404640516,0.005564078,0.005564078
129,2,67,4,3,9,13.2,19990592,13.4,56.3,43.7,0.341154665,4.336801582,3.404640516,0.005454262,0.005454262
130,2,62,3,4,9,13.2,19990592,13.4,56.3,43.7,0.341154665,4.336801582,3.404640516,-0.006050162,-0.006947416
131,2,55,6,2,41,13.2,19990592,13.4,56.3,43.7,0.341154665,4.336801582,3.404640516,0.009872443,0.009872443
132,2,61,,,67,13.2,19990592,13.4,56.3,43.7,0.341154665,4.336801582,3.404640516,-0.007923716,-0.007923716
133,2,60,1,3,68,13.2,19990592,13.4,56.3,43.7,0.341154665,4.336801582,3.404640516,-0.000283801,-0.000283801
134,2,58,3,2,69,13.2,19990592,13.4,56.3,43.7,0.341154665,4.336801582,3.404640516,0.002199431,0.002014797
135,2,62,5,,27,13.2,19990592,13.4,56.3,43.7,0.341154665,4.336801582,3.404640516,0.009968727,0.009968727
136,2,61,3,2,69,13.2,19990592,13.4,56.3,43.7,0.341154665,4.336801582,3.404640516,0.002082063,0.002082063
137,2,61,4,3,27,13.2,19990592,13.4,56.3,43.7,0.341154665,4.336801582,3.404640516,0.010132078,0.010132078
138,2,59,3,2,70,13.2,19990592,13.4,56.3,43.7,0.341154665,4.336801582,3.404640516,-0.001369113,-0.001369113
139,2,57,4,2,54,13.2,19990592,13.4,56.3,43.7,0.341154665,4.336801582,3.404640516,-0.008729458,-0.009368241
140,2,67,4,2,71,13.2,19990592,13.4,56.3,43.7,0.341154665,4.336801582,3.404640516,-0.005119403,-0.005119403
141,2,56,4,2,67,13.2,19990592,13.4,56.3,43.7,0.341154665,4.336801582,3.404640516,-0.005023484,-0.005376977
142,2,61,4,2,27,13.2,19990592,13.4,56.3,43.7,0.341154665,4.336801582,3.404640516,0.009877629,0.009877629
143,2,52,1,,15,13.2,19990592,13.4,56.3,43.7,0.341154665,4.336801582,3.404640516,-0.004302799,-0.004302799
144,2,62,4,3,72,13.2,19990592,13.4,56.3,43.7,0.341154665,4.336801582,3.404640516,0.007430279,0.007430279
145,2,55,4,,67,13.2,19990592,13.4,56.3,43.7,0.341154665,4.336801582,3.404640516,-0.003623678,-0.007901344
146,1,47,4,2,73,13.2,19990592,13.4,56.3,43.7,0.341154665,4.336801582,3.404640516,-0.182225797,0.009932958
147,2,61,4,5,18,13.2,19990592,13.4,56.3,43.7,0.341154665,4.336801582,3.404640516,0.007096137,0.00727116
148,2,46,4,3,74,19.4,13262234,14.9,54.9,45.1,0.341349711,4.270359501,3.371696035,0.005440669,0.005839697
149,1,62,3,0,43,6.8,1722001,11.7,51.9,48.1,0.337238411,4.434925865,3.48019802,-0.00929128,-0.003770612
150,2,57,5,,53,6.8,1722001,11.7,51.9,48.1,0.337238411,4.434925865,3.48019802,-0.003052293,-0.003052293
151,2,65,4,3,35,11.3,9536428,12.5,55.3,44.7,0.34690253,4.373612139,3.451666667,0.00596129,0.00596129
152,2,66,7,,44,11.3,9536428,12.5,55.3,44.7,0.34690253,4.373612139,3.451666667,0.005103691,0.005103691
153,2,60,3,3,75,8.1,2106632,11,54.5,45.5,0.32487234,4.386867791,3.458259325,0.003852993,0.005012557
154,2,61,4,,76,11.3,9536428,12.5,55.3,44.7,0.34690253,4.373612139,3.451666667,0.005666639,0.005666639
155,2,47,4,2,76,11.3,9536428,12.5,55.3,44.7,0.34690253,4.373612139,3.451666667,-0.000348983,0.007286566
156,2,57,5,2,77,10.5,944348,8.8,60.2,39.8,0.346499332,4.32460733,3.488656195,-0.001916237,-0.001760538
157,2,63,4,3,47,11.4,1369759,14.4,54.7,45.3,0.376302915,4.290801187,3.352592593,-0.008707687,-0.008707687
158,2,59,4,,74,9.3,2450261,14.7,54.4,45.6,0.335398826,4.284574468,3.457927369,-0.005811639,-0.005811639
159,1,62,5,2,35,9.2,4673221,9.5,53.1,46.9,0.326010361,4.339497392,3.408347166,-0.006359302,-0.006359302
160,2,71,5,3,15,19.4,13262234,14.9,54.9,45.1,0.341349711,4.270359501,3.371696035,0.006805974,0.006805974
161,1,49,1,2,78,15.1,4673634,14.7,55.3,44.7,0.362440566,4.372289157,3.384569017,-0.016382854,-0.009117226
162,2,57,3,,5,16,7255028,12.6,55.5,44.5,0.340036237,4.437026344,3.417419588,-0.011871711,-0.009920578
163,2,49,1,3,2,14.2,368762,11.4,56.2,43.8,0.406402027,4.385,3.306930693,-0.004213236,-0.004348301
164,2,59,3,,43,9.4,1615516,12.5,52.9,47.1,0.342664664,4.177095632,3.352179034,-0.007521417,-0.007521417
165,2,62,4,2,43,9.4,1615516,12.5,52.9,47.1,0.342664664,4.177095632,3.352179034,0.005442039,0.005442039
166,2,60,4,,79,8.8,1302632,10.5,54,46,0.362086854,4.384349827,3.473502304,-0.007082806,-0.006963006
167,1,50,2,,79,8.8,1302632,10.5,54,46,0.362086854,4.384349827,3.473502304,0.010663323,0.010663323
168,2,54,1,,45,9.2,4673221,9.5,53.1,46.9,0.326010361,4.339497392,3.408347166,0.001646231,0.001646231
169,2,64,4,,46,9.6,6138382,8,52.1,47.9,0.342364141,4.349400267,3.430854606,0.004332964,0.004332964
170,1,60,3,,46,9.6,6138382,8,52.1,47.9,0.342364141,4.349400267,3.430854606,-0.009575299,-0.009575299
171,2,56,4,,80,8.8,1281530,11.8,52.4,47.6,0.34483545,4.252413793,3.367403315,-0.007058962,-0.007791378
172,2,56,3,4,80,8.8,1281530,11.8,52.4,47.6,0.34483545,4.252413793,3.367403315,0.004710503,0.004710503
173,2,50,3,,60,8.8,1281530,11.8,52.4,47.6,0.34483545,4.252413793,3.367403315,0.00279975,0.003238835
174,2,55,4,,81,11.3,9536428,12.5,55.3,44.7,0.34690253,4.373612139,3.451666667,-0.004722038,-0.004251381
175,2,55,4,,20,13.2,19990592,13.4,56.3,43.7,0.341154665,4.336801582,3.404640516,-0.000913592,-0.000913592
176,1,52,4,,50,9.2,3302833,12.5,55.9,44.1,0.342725296,4.301822323,3.383390216,-0.011371975,-0.006519864
177,2,58,5,,40,9.2,3302833,12.5,55.9,44.1,0.342725296,4.301822323,3.383390216,0.003497002,0.003655378
178,2,59,3,,69,9.2,4673221,9.5,53.1,46.9,0.326010361,4.339497392,3.408347166,-0.001222911,-0.001222911
179,2,66,1,,12,9.2,4673221,9.5,53.1,46.9,0.326010361,4.339497392,3.408347166,0.006763157,0.006763157
180,2,55,3,2,45,9.2,4673221,9.5,53.1,46.9,0.326010361,4.339497392,3.408347166,0.003803192,0.003803192
181,2,55,4,,22,9.2,4673221,9.5,53.1,46.9,0.326010361,4.339497392,3.408347166,-0.003653142,-0.003653142
182,2,62,4,3,82,10.8,1981616,8,54.5,45.5,0.315941432,4.380359613,3.434210526,-0.004450708,-0.004450708
183,2,67,4,3,13,10.8,1981616,8,54.5,45.5,0.315941432,4.380359613,3.434210526,-0.000877067,-0.000877067
184,2,60,4,2,45,10.8,1981616,8,54.5,45.5,0.315941432,4.380359613,3.434210526,0.004380245,0.004380245
185,2,62,4,2,5,10.8,1981616,8,54.5,45.5,0.315941432,4.380359613,3.434210526,0.000793518,0.000793518
186,1,55,3,5,9,10.8,1981616,8,54.5,45.5,0.315941432,4.380359613,3.434210526,-0.002297088,-0.009996465
187,2,54,2,,45,10.8,1981616,8,54.5,45.5,0.315941432,4.380359613,3.434210526,0.004416339,0.004372553
188,2,59,4,2,35,10.8,1981616,8,54.5,45.5,0.315941432,4.380359613,3.434210526,0.004064168,0.004064168
189,2,73,5,3,35,10.8,1981616,8,54.5,45.5,0.315941432,4.380359613,3.434210526,-0.00290483,-0.00290483
190,2,64,4,,62,10.8,1981616,8,54.5,45.5,0.315941432,4.380359613,3.434210526,0.009283326,0.009283326
191,1,59,1,2,29,10.8,1981616,8,54.5,45.5,0.315941432,4.380359613,3.434210526,-0.00956971,-0.00956971
192,2,57,1,2,13,10.8,1981616,8,54.5,45.5,0.315941432,4.380359613,3.434210526,0.010044762,0.010044762
193,2,58,4,2,83,10.8,1981616,8,54.5,45.5,0.315941432,4.380359613,3.434210526,0.01220094,0.007318219
194,2,52,3,,84,10.8,1981616,8,54.5,45.5,0.315941432,4.380359613,3.434210526,-0.002293961,-0.002293961
195,1,60,4,2,84,10.8,1981616,8,54.5,45.5,0.315941432,4.380359613,3.434210526,-0.004427695,-0.004427695
196,2,56,3,1,72,19.4,13262234,14.9,54.9,45.1,0.341349711,4.270359501,3.371696035,0.010941522,0.010941522
197,2,56,1,2,72,19.4,13262234,14.9,54.9,45.1,0.341349711,4.270359501,3.371696035,0.009341639,0.009341639
198,1,62,,,85,12.4,785997,11,56.7,43.3,0.411463901,4.449541284,3.227272727,0.003525699,0.003525699
199,2,59,4,3,4,7.7,3809717,9.6,53.8,46.2,0.318362871,4.365116828,3.494928049,-0.002991303,-0.002991303
200,2,56,3,4,77,7.7,3809717,9.6,53.8,46.2,0.318362871,4.365116828,3.494928049,0.004710503,0.004710503
201,2,35,3,2,29,7.7,3809717,9.6,53.8,46.2,0.318362871,4.365116828,3.494928049,0.004142418,0.004142418
202,2,55,3,,30,7.7,3809717,9.6,53.8,46.2,0.318362871,4.365116828,3.494928049,-0.022885889,-0.004450994
203,2,59,8,2,74,7.7,3809717,9.6,53.8,46.2,0.318362871,4.365116828,3.494928049,0.000913886,0.000913886
204,2,77,1,2,86,12.4,2805551,11.9,54,46,0.369793982,4.305009512,3.377466582,0.005718429,0.005718429
205,2,58,3,4,40,12.4,2805551,11.9,54,46,0.369793982,4.305009512,3.377466582,0.005353888,0.005353888
206,2,58,1,2,85,7,3557528,9,53.2,46.8,0.346231977,4.305490654,3.479087452,-0.006845239,-0.007902701
207,2,64,4,,85,7,3557528,9,53.2,46.8,0.346231977,4.305490654,3.479087452,-0.006190501,-0.006673634
208,2,60,3,4,87,10.5,944348,8.8,60.2,39.8,0.346499332,4.32460733,3.488656195,0.012752345,-0.007051731
209,2,57,1,,83,10.8,1981616,8,54.5,45.5,0.315941432,4.380359613,3.434210526,0.00840732,0.00840732
210,2,52,4,2,88,10.8,1981616,8,54.5,45.5,0.315941432,4.380359613,3.434210526,-0.007365778,-0.007365778
211,2,47,4,,45,15.1,4673634,14.7,55.3,44.7,0.362440566,4.372289157,3.384569017,-0.007354564,-0.000442122
212,2,64,3,,89,8.8,1302632,10.5,54,46,0.362086854,4.384349827,3.473502304,0.011180198,0.010801273
213,2,60,3,,90,11.4,985233,14.5,55.9,44.1,0.366279862,4.342592593,3.339491917,-0.003617947,-0.003617947
214,1,58,5,2,90,11.4,985233,14.5,55.9,44.1,0.366279862,4.342592593,3.339491917,-0.002913793,-0.002913793
215,2,69,4,8,81,9.6,6138382,8,52.1,47.9,0.342364141,4.349400267,3.430854606,-0.001225783,-0.001225783
216,2,60,4,4,67,12.4,2417931,11.4,54.7,45.3,0.321574442,4.306764552,3.43802521,0.012214648,0.005570397
217,2,55,3,4,35,9.6,6138382,8,52.1,47.9,0.342364141,4.349400267,3.430854606,0.008688452,0.008688452
218,2,53,3,,35,8,6069448,12.6,54.6,45.4,0.333240668,4.347376583,3.433144037,0.006300302,0.006256502
219,2,53,4,,13,7,4811732,9.8,53.7,46.3,0.343589101,4.353726584,3.460971724,0.008106762,0.00787927
220,2,64,3,1,91,9.4,1615516,12.5,52.9,47.1,0.342664664,4.177095632,3.352179034,0.008344516,0.008344516
221,2,59,4,,82,7.3,444014,10,55.7,44.3,0.323368502,4.227513228,3.409574468,-0.002418187,-0.002040921
