Symbol,Company,Current CEO,Gender,Date Employed,Age,Education,children,sector,headquarters,headquartersMSA,popperlesshS,population,popbelowpovlevel,percentmenbusiness,percentfemalebusiness,implicitatt,exp1career,exp2fam,Slopeafterhire,fullslope
ALK,Alaska Air Group Inc,Bradley D Tilden,2,5/1/2012,59,MBA,3,Airlines,"Seattle, Washington","Seattle-Tacoma-Bellevue, WA Metro Area",7.7,3809717,9.6,53.8,46.2,0.318362871,4.365116828,3.494928049,-0.002991303,-0.002991303
AMZN,Amazon.com Inc.,Jeff Bezos,2,5/1/1996,56,BS,4,Internet & Direct Marketing Retail,"Seattle, Washington","Seattle-Tacoma-Bellevue, WA Metro Area",7.7,3809717,9.6,53.8,46.2,0.318362871,4.365116828,3.494928049,0.004710503,0.004710503
FB,Facebook,mark zuckerburg,2,6/26/1905,35,BS,2,Communications Equipment,"Seattle, Washington","Seattle-Tacoma-Bellevue, WA Metro Area",7.7,3809717,9.6,53.8,46.2,0.318362871,4.365116828,3.494928049,0.004142418,0.004142418
JWN,Nordstrom,Erik B Nordstrom ,2,3/3/2020,55,Bachelor,,Department Stores,"Seattle, Washington","Seattle-Tacoma-Bellevue, WA Metro Area",7.7,3809717,9.6,53.8,46.2,0.318362871,4.365116828,3.494928049,-0.022885889,-0.004450994
SBUX,Starbucks Corp.,Kevin Johnson,2,7/9/1905,59,Doctor of Letters,2,Restaurants,"Seattle, Washington","Seattle-Tacoma-Bellevue, WA Metro Area",7.7,3809717,9.6,53.8,46.2,0.318362871,4.365116828,3.494928049,0.000913886,0.000913886
CNC,Centene Corporation,Michael F Neidorff,2,5/1/1996,77,MA,2,Managed Health Care,"St Louis, Missouri","St. Louis, MO-IL Metro Area",12.4,2805551,11.9,54,46,0.369793982,4.305009512,3.377466582,0.005718429,0.005718429
AEE,Ameren Corp,Warner Baxter,2,4/1/2014,58,BS,4,Multi-Utilities,"St. Louis, Missouri","St. Louis, MO-IL Metro Area",12.4,2805551,11.9,54,46,0.369793982,4.305009512,3.377466582,0.005353888,0.005353888
MMM,3M Company,Mike Roman,2,7/1/2018,58,MS,2,Industrial Conglomerates,"St. Paul, Minnesota","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",7,3557528,9,53.2,46.8,0.346231977,4.305490654,3.479087452,-0.006845239,-0.007902701
AOS,A.O. Smith Corp,Ajita G. Rajendra,2,9/1/2018,64,MBA,,Industrial Conglomerates,"St. Paul, Minnesota","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",7,3557528,9,53.2,46.8,0.346231977,4.305490654,3.479087452,-0.006190501,-0.006673634
CVX,Chevron,Mike Wirth,2,2/18/2020,60,BS,4,Cable & Satellite,"Stamford, Connecticut","Bridgeport-Stamford-Norwalk, CT Metro Area",10.5,944348,8.8,60.2,39.8,0.346499332,4.32460733,3.488656195,0.012752345,-0.007051731
FTNT,Fortinet,Ken Xie,2,10/1/2000,57,MS,,Systems Software,"Sunnyvale, California","San Jose-Sunnyvale-Santa Clara, CA Metro Area",10.8,1981616,8,54.5,45.5,0.315941432,4.380359613,3.434210526,0.00840732,0.00840732
NTAP,NetApp,George Kurian,2,6/1/2015,52,MBA,2,"Technology Hardware, Storage & Peripherals","Sunnyvale, California","San Jose-Sunnyvale-Santa Clara, CA Metro Area",10.8,1981616,8,54.5,45.5,0.315941432,4.380359613,3.434210526,-0.007365778,-0.007365778
NLOK,NortonLifeLock,Vincent Pilette,2,11/1/2019,47,MBA,,Application Software,"Tempe, Arizona","Phoenix-Mesa-Scottsdale, AZ Metro Area",15.1,4673634,14.7,55.3,44.7,0.362440566,4.372289157,3.384569017,-0.007354564,-0.000442122
ODFL,Old Dominion Freight Line,Greg C. Gantt,2,5/1/2018,64,BS,,Trucking,"Thomasville, North Carolina","Raleigh, NC Metro Area",8.8,1302632,10.5,54,46,0.362086854,4.384349827,3.473502304,0.011180198,0.010801273
OKE,ONEOK,Terry K. Spencer,2,1/13/2014,60,BS,,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma","Tulsa, OK Metro Area",11.4,985233,14.5,55.9,44.1,0.366279862,4.342592593,3.339491917,-0.003617947,-0.003617947
ORCL,Oracle,Safra Catz,1,9/14/2020,58,JD,2,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma","Tulsa, OK Metro Area",11.4,985233,14.5,55.9,44.1,0.366279862,4.342592593,3.339491917,-0.002913793,-0.002913793
COF,Capital One Financial,Richard Fairbank,2,7/1/1994,69,MBA,8,Consumer Finance,"Tysons Corner, Virginia","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",9.6,6138382,8,52.1,47.9,0.342364141,4.349400267,3.430854606,-0.001225783,-0.001225783
NKE,Nike,John Donahoe,2,1/13/2020,60,MBA,4,"Apparel, Accessories & Luxury Goods","Washington County, Oregon","Portland-Vancouver-Hillsboro, OR-WA Metro Area",12.4,2417931,11.4,54.7,45.3,0.321574442,4.306764552,3.43802521,0.012214648,0.005570397
DHR,Danaher Corp.,Thomas P Joyce Jr.,2,9/1/2014,55,BS,4,Health Care Equipment,"Washington, D.C.","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",9.6,6138382,8,52.1,47.9,0.342364141,4.349400267,3.430854606,0.008688452,0.008688452
TFX,Teleflex,Liam Kelly,2,1/1/2018,53,Bachelor ,,Health Care Equipment,"Wayne, Pennsylvania","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",8,6069448,12.6,54.6,45.4,0.333240668,4.347376583,3.433144037,0.006300302,0.006256502
SWKS,Skyworks Solutions,Liam Griffin,2,5/1/2016,53,MBA,,Semiconductors,"Woburn, Massachusetts","Boston-Cambridge-Newton, MA-NH Metro Area",7,4811732,9.8,53.7,46.3,0.343589101,4.353726584,3.460971724,0.008106762,0.00787927
CVS,CVS Health,Larry J Merlo,2,3/1/2011,64,BS,1,Health Care Services,"Woonsocket, Rhode Island","Providence-Warwick, RI-MA Metro Area",9.4,1615516,12.5,52.9,47.1,0.342664664,4.177095632,3.352179034,0.008344516,0.008344516
XRAY,Dentsply Sirona,Donald M Casey Jr,2,2/1/2018,59,MBA ,,Health Care Supplies,"York, Pennsylvania","York-Hanover, PA Metro Area",7.3,444014,10,55.7,44.3,0.323368502,4.227513228,3.409574468,-0.002418187,-0.002040921
