Symbol,Company,Current CEO,Gender,Date Employed,Age,Education,children,sector,headquarters,headquartersMSA,popperlesshS,population,popbelowpovlevel,percentmenbusiness,percentfemalebusiness,implicitatt,exp1career,exp2fam,Slopeafterhire,fullslope
PCAR,PACCAR Inc.,R. Preston Feight,2,7/11/1905,52,MS,,Construction Machinery & Heavy Trucks,"Bellevue, Washington","Seattle-Tacoma-Bellevue, WA Metro Area",7.7,3809717,9.6,53.8,46.2,0.318362871,4.365116828,3.494928049,0.002655068,0.002655068
SBAC,SBA Communications,Jeffrey Stoops,2,1/1/2002,61,JD,4,Specialized REITs,"Boca Raton, Florida","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",11.4,6070944,15.4,56.7,43.3,0.369366075,4.301639344,3.340104849,0.009638849,0.009638849
msft,Microsoft,satya nadella,2,2/4/2014,52,MBA,3,Semiconductors,"Boise, Idaho","Boise City, ID Metro Area",8.6,693952,12.6,57.3,42.7,0.341569097,4.395778364,3.335106383,0.01091618,0.01091618
ALXN,Alexion Pharmaceuticals,Ludwig Hantson,2,3/1/2017,57,PhD,,Biotechnology,"Boston, Massachusetts","Boston-Cambridge-Newton, MA-NH Metro Area",7,4811732,9.8,53.7,46.3,0.343589101,4.353726584,3.460971724,-0.009341723,-0.009500104
BXP,Boston Properties,Owen D Thomas,2,4/1/2013,58,MBA,3,Office REITs,"Boston, Massachusetts","Boston-Cambridge-Newton, MA-NH Metro Area",7,4811732,9.8,53.7,46.3,0.343589101,4.353726584,3.460971724,-0.003345229,-0.003345229
STT,State Street Corp.,Ronald P. O'Hanley,2,7/7/1905,62,MBA,,Asset Management & Custody Banks,"Boston, Massachusetts","Boston-Cambridge-Newton, MA-NH Metro Area",7,4811732,9.8,53.7,46.3,0.343589101,4.353726584,3.460971724,0.00329319,0.00329319
pep,PepsiCo,Ramon Laguarta,2,10/18/2020,57,MS,3,Thrifts & Mortgage Finance,"Bridgeport, Connecticut","Bridgeport-Stamford-Norwalk, CT Metro Area",10.5,944348,8.8,60.2,39.8,0.346499332,4.32460733,3.488656195,0.006438075,0.006438075
BLL,Ball Corp,John Hayes,2,1/1/2011,54,MA,,Metal & Glass Containers,"Broomfield, Colorado","Denver-Aurora-Lakewood, CO Metro Area",10.1,2850221,9.4,54.7,45.3,0.324822477,4.321071753,3.512715713,0.004679094,0.004679094
BAC,Bank of America,Brian Moynihan,2,1/1/2010,60,JD,3,Metal & Glass Containers,"Broomfield, Colorado","Denver-Aurora-Lakewood, CO Metro Area",10.1,2850221,9.4,54.7,45.3,0.324822477,4.321071753,3.512715713,0.000905132,0.000905132
WMT,Walmart,Doug McMillon,2,2/14/2020,53,MBA,2,Movies & Entertainment,"Burbank, California","Los Angeles-Long Beach-Anaheim, CA Metro Area",19.4,13262234,14.9,54.9,45.1,0.341349711,4.270359501,3.371696035,0.066933775,0.009879008
DIS,Walt Disney,Bob Chapek,2,7/5/2020,60,MBA,3,Movies & Entertainment,"Burbank, California","Los Angeles-Long Beach-Anaheim, CA Metro Area",19.4,13262234,14.9,54.9,45.1,0.341349711,4.270359501,3.371696035,-0.000930279,-0.000930279
MHK,Mohawk Industries,Jeffrey Lorberbaum,2,6/23/1905,65,BA,2,Home Furnishings,"Calhoun, Georgia","Chattanooga, TN-GA Metro Area",10,552043,14,57.2,42.8,0.373451372,4.462068966,3.420689655,-0.004725989,-0.004725989
AKAM,Akamai Technologies Inc,Frank Thomson Leighton,2,1/1/2013,64,PhD,,Internet Services & Infrastructure,"Cambridge, Massachusetts","Boston-Cambridge-Newton, MA-NH Metro Area",7,4811732,9.8,53.7,46.3,0.343589101,4.353726584,3.460971724,0.010244839,0.010244839
BIIB,Biogen Inc.,Michel Vounatsos,2,1/1/2017,57,MBA,,Biotechnology,"Cambridge, Massachusetts","Boston-Cambridge-Newton, MA-NH Metro Area",7,4811732,9.8,53.7,46.3,0.343589101,4.353726584,3.460971724,0.009781004,0.008406828
CPB,Campbell Soup,Mark Clouse,2,1/1/2019,51,BS,2,Packaged Foods & Meats,"Camden, New Jersey","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",8,6069448,12.6,54.6,45.4,0.333240668,4.347376583,3.433144037,0.010665683,0.010933521
ALB,Albemarle Corp,Luther Kissam,2,9/1/2011,54,JD,,Specialty Chemicals,"Charlotte, North Carolina","Charlotte-Concord-Gastonia, NC-SC Metro Area",10.6,2473125,12.7,55,45,0.342258043,4.392523364,3.444765343,-0.002414278,-0.002414278
BAX,Baxter International Inc.,Jose E Almeida ,2,1/1/2016,58,BS,,Diversified Banks,"Charlotte, North Carolina","Charlotte-Concord-Gastonia, NC-SC Metro Area",10.6,2473125,12.7,55,45,0.342258043,4.392523364,3.444765343,0.007294084,0.007352488
BDX,Becton Dickinson,Thomas Polen,2,1/1/2020,46,MBA,,Diversified Banks,"Charlotte, North Carolina","Charlotte-Concord-Gastonia, NC-SC Metro Area",10.6,2473125,12.7,55,45,0.342258043,4.392523364,3.444765343,0.019728676,0.004406392
