Symbol,Company,Current CEO,"Gender (1 female, 2 male)",Date Employed,Age,Education Level,Number of Children they have,sector,headquarters,headquartersMSA,pop with % less than HS,Estimate!!Total!!Total population,Estimate!!Percent below poverty level!!Population for whom poverty status is determined,"Estimate!!Percent Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations!!Management, business, and financial occupations","Estimate!!Percent Female!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations!!Management, business, and financial occupations",implicit attitudes,exp1career,exp2fam
msft,Microsoft,satya nadella,2,2/4/2014,52,MBA,3,Semiconductors,"Boise, Idaho","Boise City, ID Metro Area",8.6,693952,12.6,57.3,42.7,0.341569097,4.395778364,3.335106383
ALXN,Alexion Pharmaceuticals,Ludwig Hantson,2,3/1/2017,57,PhD,,Biotechnology,"Boston, Massachusetts","Boston-Cambridge-Newton, MA-NH Metro Area",7,4811732,9.8,53.7,46.3,0.343589101,4.353726584,3.460971724
BXP,Boston Properties,Owen D Thomas,2,4/1/2013,58,MBA,3,Office REITs,"Boston, Massachusetts","Boston-Cambridge-Newton, MA-NH Metro Area",7,4811732,9.8,53.7,46.3,0.343589101,4.353726584,3.460971724
STT,State Street Corp.,Ronald P. O'Hanley,2,7/7/1905,62,MBA,,Asset Management & Custody Banks,"Boston, Massachusetts","Boston-Cambridge-Newton, MA-NH Metro Area",7,4811732,9.8,53.7,46.3,0.343589101,4.353726584,3.460971724
pep,PepsiCo,Ramon Laguarta,2,10/18/2020,57,MS,3,Thrifts & Mortgage Finance,"Bridgeport, Connecticut","Bridgeport-Stamford-Norwalk, CT Metro Area",10.5,944348,8.8,60.2,39.8,0.346499332,4.32460733,3.488656195
BLL,Ball Corp,John Hayes,2,1/1/2011,54,MA,,Metal & Glass Containers,"Broomfield, Colorado","Denver-Aurora-Lakewood, CO Metro Area",10.1,2850221,9.4,54.7,45.3,0.324822477,4.321071753,3.512715713
BAC,Bank of America,Brian Moynihan,2,1/1/2010,60,JD,3,Metal & Glass Containers,"Broomfield, Colorado","Denver-Aurora-Lakewood, CO Metro Area",10.1,2850221,9.4,54.7,45.3,0.324822477,4.321071753,3.512715713
WMT,Walmart,Doug McMillon,2,2/14/2020,53,MBA,2,Movies & Entertainment,"Burbank, California","Los Angeles-Long Beach-Anaheim, CA Metro Area",19.4,13262234,14.9,54.9,45.1,0.341349711,4.270359501,3.371696035
DIS,Walt Disney,Bob Chapek,2,7/5/2020,60,MBA,3,Movies & Entertainment,"Burbank, California","Los Angeles-Long Beach-Anaheim, CA Metro Area",19.4,13262234,14.9,54.9,45.1,0.341349711,4.270359501,3.371696035
MHK,Mohawk Industries,Jeffrey Lorberbaum,2,6/23/1905,65,BA,2,Home Furnishings,"Calhoun, Georgia","Chattanooga, TN-GA Metro Area",10,552043,14,57.2,42.8,0.373451372,4.462068966,3.420689655
AKAM,Akamai Technologies Inc,Frank Thomson Leighton,2,1/1/2013,64,PhD,,Internet Services & Infrastructure,"Cambridge, Massachusetts","Boston-Cambridge-Newton, MA-NH Metro Area",7,4811732,9.8,53.7,46.3,0.343589101,4.353726584,3.460971724
BIIB,Biogen Inc.,Michel Vounatsos,2,1/1/2017,57,MBA,,Biotechnology,"Cambridge, Massachusetts","Boston-Cambridge-Newton, MA-NH Metro Area",7,4811732,9.8,53.7,46.3,0.343589101,4.353726584,3.460971724
CPB,Campbell Soup,Mark Clouse,2,1/1/2019,51,BS,2,Packaged Foods & Meats,"Camden, New Jersey","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",8,6069448,12.6,54.6,45.4,0.333240668,4.347376583,3.433144037
ALB,Albemarle Corp,Luther Kissam,2,9/1/2011,54,JD,,Specialty Chemicals,"Charlotte, North Carolina","Charlotte-Concord-Gastonia, NC-SC Metro Area",10.6,2473125,12.7,55,45,0.342258043,4.392523364,3.444765343
BAX,Baxter International Inc.,Jose E Almeida ,2,1/1/2016,58,BS,,Diversified Banks,"Charlotte, North Carolina","Charlotte-Concord-Gastonia, NC-SC Metro Area",10.6,2473125,12.7,55,45,0.342258043,4.392523364,3.444765343
BDX,Becton Dickinson,Thomas Polen,2,1/1/2020,46,MBA,,Diversified Banks,"Charlotte, North Carolina","Charlotte-Concord-Gastonia, NC-SC Metro Area",10.6,2473125,12.7,55,45,0.342258043,4.392523364,3.444765343
BRK.B,Berkshire Hathaway,Warren Buffet,2,5/23/1905,89,MS,3,Diversified Banks,"Charlotte, North Carolina","Charlotte-Concord-Gastonia, NC-SC Metro Area",10.6,2473125,12.7,55,45,0.342258043,4.392523364,3.444765343
BBY,Best Buy,Corie Barry,1,6/1/2019,44,BA,2,Diversified Banks,"Charlotte, North Carolina","Charlotte-Concord-Gastonia, NC-SC Metro Area",10.6,2473125,12.7,55,45,0.342258043,4.392523364,3.444765343
NUE,Nucor Corp.,Leon J. Topalian,2,1/1/2020,51,BS,,Steel,"Charlotte, North Carolina","Charlotte-Concord-Gastonia, NC-SC Metro Area",10.6,2473125,12.7,55,45,0.342258043,4.392523364,3.444765343
SEE,Sealed Air,Edward L. Doheny II,2,1/1/2018,56,Masters,,Paper Packaging,"Charlotte, North Carolina","Charlotte-Concord-Gastonia, NC-SC Metro Area",10.6,2473125,12.7,55,45,0.342258043,4.392523364,3.444765343
UPS,UPS,Carol Tome,1,6/1/2020,63,MBA,,Life & Health Insurance,"Chattanooga, Tennessee","Chattanooga, TN-GA Metro Area",10,552043,14,57.2,42.8,0.373451372,4.462068966,3.420689655
ADM,Archer-Daniels-Midland Co,Juan Luciano,2,1/1/2015,58,MS,,Agricultural Products,"Chicago, Illinois","Chicago-Naperville-Elgin, IL-IN-WI Metro Area",11.3,9536428,12.5,55.3,44.7,0.34690253,4.373612139,3.451666667
CBOE,Cboe Global Markets,Edward Tilly,2,5/1/2013,56,BA,2,Financial Exchanges & Data,"Chicago, Illinois","Chicago-Naperville-Elgin, IL-IN-WI Metro Area",11.3,9536428,12.5,55.3,44.7,0.34690253,4.373612139,3.451666667
LMT,Lockheed Martin,Marillyn A. Hewson,1,1/13/2020,66,MBA,2,Distributors,"Chicago, Illinois","Chicago-Naperville-Elgin, IL-IN-WI Metro Area",11.3,9536428,12.5,55.3,44.7,0.34690253,4.373612139,3.451666667
MSI,Motorola Solutions Inc.,Gregory Q. Brown,2,1/1/2008,60,BS,2,Communications Equipment,"Chicago, Illinois","Chicago-Naperville-Elgin, IL-IN-WI Metro Area",11.3,9536428,12.5,55.3,44.7,0.34690253,4.373612139,3.451666667
NTRS,Northern Trust Corp.,Michael G O'Grady,2,1/23/2019,54,MBA,,Asset Management & Custody Banks,"Chicago, Illinois","Chicago-Naperville-Elgin, IL-IN-WI Metro Area",11.3,9536428,12.5,55.3,44.7,0.34690253,4.373612139,3.451666667
NOC,Northrop,Kathy Warden,1,1/1/2019,48,MA,2,Asset Management & Custody Banks,"Chicago, Illinois","Chicago-Naperville-Elgin, IL-IN-WI Metro Area",11.3,9536428,12.5,55.3,44.7,0.34690253,4.373612139,3.451666667
UNH,United Health,David S. Wichmann,2,9/17/2020,58,BS,,Airlines,"Chicago, Illinois","Chicago-Naperville-Elgin, IL-IN-WI Metro Area",11.3,9536428,12.5,55.3,44.7,0.34690253,4.373612139,3.451666667
M,Macy's Inc.,Jeffrey Gennette,2,3/1/2017,58,Bachelor,1,Department Stores,"Cincinnati, Ohio","Cincinnati, OH-KY-IN Metro Area",7.3,2168825,12.7,54.9,45.1,0.346187125,4.320579111,3.385692068
PG,Proctor and Gamble,David S. Taylor,2,11/15/2020,62,BS,,Personal Products,"Cincinnati, Ohio","Cincinnati, OH-KY-IN Metro Area",7.3,2168825,12.7,54.9,45.1,0.346187125,4.320579111,3.385692068
PGR,Progressive,Tricia Griffith,1,7/16/2020,55,BS,,Personal Products,"Cincinnati, Ohio","Cincinnati, OH-KY-IN Metro Area",7.3,2168825,12.7,54.9,45.1,0.346187125,4.320579111,3.385692068
SHW,Sherwin-Williams,John G. Morikis,2,1/1/2016,56,MBA,,Specialty Chemicals,"Cleveland, Ohio","Cleveland-Elyria, OH Metro Area",8.3,2061766,14.8,55,45,0.358792435,4.327102804,3.38372093
