Symbol,Company,Current CEO,"Gender (1 female, 2 male)",Date Employed,Age,Education Level,Number of Children they have,sector,headquarters,headquartersMSA,pop with % less than HS,Estimate!!Total!!Total population,Estimate!!Percent below poverty level!!Population for whom poverty status is determined,"Estimate!!Percent Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations!!Management, business, and financial occupations","Estimate!!Percent Female!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations!!Management, business, and financial occupations",implicit attitudes,exp1career,exp2fam
MAA,Mid-America Apartments,H. Eric Bolton,2,10/1/2001,63,MBA,1,Residential REITs,"Memphis, Tennessee","Memphis, TN-MS-AR Metro Area",11.4,1345991,18.6,52.3,47.7,0.35373716,4.388663968,3.477732794
NI,NiSource Inc.,Joe Hamrock,2,7/1/2015,56,MBA,4,Multi-Utilities,"Merrillville, Indiana","Indianapolis-Carmel-Anderson, IN Metro Area",10.6,2007497,13.2,54.2,45.8,0.340081696,4.36693256,3.485155684
CCL,Carnival Corp.,Arnold W Donald,2,7/1/2013,66,MBA,3,"Hotels, Resorts & Cruise Lines","Miami, Florida","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",11.4,6070944,15.4,56.7,43.3,0.369366075,4.301639344,3.340104849
RCL,Royal Caribbean Cruises Ltd,Michael Bayley,2,12/1/2014,60,Bachelors,2,"Hotels, Resorts & Cruise Lines","Miami, Florida","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",11.4,6070944,15.4,56.7,43.3,0.369366075,4.301639344,3.340104849
FANG,Diamondback Energy,Travis Stice ,2,1/1/2012,57,BS,,Oil & Gas Exploration & Production,"Midland, Texas","Midland, TX Metro Area",17,169808,9.1,60.1,39.9,0.351303711,4.612903226,3.709677419
KSS,Kohls,Michelle Gass,1,7/5/1905,52,MBA,3,Semiconductor Equipment,"Milpitas, California","San Jose-Sunnyvale-Santa Clara, CA Metro Area",10.8,1981616,8,54.5,45.5,0.315941432,4.380359613,3.434210526
AEP,American Electric Power,Nick Akins,2,7/2/1905,59,MS,2,Building Products,"Milwaukee, Wisconsin","Milwaukee-Waukesha-West Allis, WI Metro Area",8.8,1575907,14,52.8,47.2,0.345672708,4.295508274,3.513577332
AXP,American Express Co,Stephen Squeri,2,2/1/2018,65,MBA,4,Building Products,"Milwaukee, Wisconsin","Milwaukee-Waukesha-West Allis, WI Metro Area",8.8,1575907,14,52.8,47.2,0.345672708,4.295508274,3.513577332
AIG,American International Group,Brian Duperreault,2,5/1/2017,72,BS,3,Building Products,"Milwaukee, Wisconsin","Milwaukee-Waukesha-West Allis, WI Metro Area",8.8,1575907,14,52.8,47.2,0.345672708,4.295508274,3.513577332
AMT,American Tower Corp.,James Taiclet ,2,10/1/2003,59,MS,3,Building Products,"Milwaukee, Wisconsin","Milwaukee-Waukesha-West Allis, WI Metro Area",8.8,1575907,14,52.8,47.2,0.345672708,4.295508274,3.513577332
AWK,American Water Works,Susan Story,1,5/14/2020,60,MBA,,Building Products,"Milwaukee, Wisconsin","Milwaukee-Waukesha-West Allis, WI Metro Area",8.8,1575907,14,52.8,47.2,0.345672708,4.295508274,3.513577332
AMP,Ameriprise Financial,James Cracchiolo,2,9/1/2005,62,MBA,,Building Products,"Milwaukee, Wisconsin","Milwaukee-Waukesha-West Allis, WI Metro Area",8.8,1575907,14,52.8,47.2,0.345672708,4.295508274,3.513577332
ABC,AmerisourceBergen Corp,Steven Collis,2,7/1/2011,59,BA,3,Building Products,"Milwaukee, Wisconsin","Milwaukee-Waukesha-West Allis, WI Metro Area",8.8,1575907,14,52.8,47.2,0.345672708,4.295508274,3.513577332
AME,AMETEK Inc.,David Zapico,2,5/1/2016,55,MBA,,Building Products,"Milwaukee, Wisconsin","Milwaukee-Waukesha-West Allis, WI Metro Area",8.8,1575907,14,52.8,47.2,0.345672708,4.295508274,3.513577332
AMGN,Amgen Inc.,Robert Bradway,2,5/1/2012,57,MBA,,Building Products,"Milwaukee, Wisconsin","Milwaukee-Waukesha-West Allis, WI Metro Area",8.8,1575907,14,52.8,47.2,0.345672708,4.295508274,3.513577332
APH,Amphenol Corp,Richard Norwitt,2,1/1/2009,50,MBA,,Building Products,"Milwaukee, Wisconsin","Milwaukee-Waukesha-West Allis, WI Metro Area",8.8,1575907,14,52.8,47.2,0.345672708,4.295508274,3.513577332
ADI,"Analog Devices, Inc.",Vincent Roche,2,3/1/2013,59,BA,,Building Products,"Milwaukee, Wisconsin","Milwaukee-Waukesha-West Allis, WI Metro Area",8.8,1575907,14,52.8,47.2,0.345672708,4.295508274,3.513577332
ANSS,ANSYS,Ajei Gopal,2,1/1/2017,57,PhD,,Building Products,"Milwaukee, Wisconsin","Milwaukee-Waukesha-West Allis, WI Metro Area",8.8,1575907,14,52.8,47.2,0.345672708,4.295508274,3.513577332
ANTM,Anthem Inc,Gail Bordeaux,1,11/6/2017,60,MBA,2,Building Products,"Milwaukee, Wisconsin","Milwaukee-Waukesha-West Allis, WI Metro Area",8.8,1575907,14,52.8,47.2,0.345672708,4.295508274,3.513577332
AON,Aon plc,Gregory Case,2,4/1/2005,57,MBA,,Building Products,"Milwaukee, Wisconsin","Milwaukee-Waukesha-West Allis, WI Metro Area",8.8,1575907,14,52.8,47.2,0.345672708,4.295508274,3.513577332
INTC,Intel,Bob Swan,2,6/21/2018,60,MBA,2,Industrial Machinery,"Milwaukee, Wisconsin","Milwaukee-Waukesha-West Allis, WI Metro Area",8.8,1575907,14,52.8,47.2,0.345672708,4.295508274,3.513577332
TGT,Target Corp.,Brian Cornell,2,8/12/2014,62,Bachelor,2,General Merchandise Stores,"Minneapolis, Minnesota","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",7,3557528,9,53.2,46.8,0.346231977,4.305490654,3.479087452
DE,Deere & Co.,John C May,2,11/1/2019,50,MBA ,,Agricultural & Farm Machinery,"Moline, Illinois","Davenport-Moline-Rock Island, IA-IL Metro Area",7.8,382720,13.1,54.4,45.6,0.389708894,4.154639175,3.422680412
CTL,CenturyLink Inc,Jeffrey Storey,2,5/1/2018,59,MS,6,Alternative Carriers,"Monroe, Louisiana","Monroe, LA Metro Area",12.5,178550,23.2,53.3,46.7,0.226706555,4.470588235,3.176470588
SWK,Stanley Black & Decker,James M. Loree,2,8/1/2016,61,BA,,Industrial Machinery,"New Britain, Connecticut","Hartford-West Hartford-East Hartford, CT Metro Area",7.1,1209367,10.1,53.8,46.2,0.385577756,4.342,3.488977956
JNJ,Johnson and Johnson,alex gorsky,2,4/26/2012,59,MBA,,Pharmaceuticals,"New Brunswick, New Jersey","New York-Newark-Jersey City, NY-NJ-PA Metro Area",13.2,19990592,13.4,56.3,43.7,0.341154665,4.336801582,3.404640516
ARNC,Arconic Inc.,John Plant,2,2/1/2019,66,BS,,Aerospace & Defense,"New York, New York","New York-Newark-Jersey City, NY-NJ-PA Metro Area",13.2,19990592,13.4,56.3,43.7,0.341154665,4.336801582,3.404640516
ANET,Arista,Jayshree V. Ullal,1,10/8/2020,59,MS,2,Aerospace & Defense,"New York, New York","New York-Newark-Jersey City, NY-NJ-PA Metro Area",13.2,19990592,13.4,56.3,43.7,0.341154665,4.336801582,3.404640516
AIZ,Assurant,Alan B Colberg,2,1/1/2015,57,MBA,,Multi-line Insurance,"New York, New York","New York-Newark-Jersey City, NY-NJ-PA Metro Area",13.2,19990592,13.4,56.3,43.7,0.341154665,4.336801582,3.404640516
T,At&T,Randall L. Stephenson,2,5/1/2007,59,MA,2,Multi-line Insurance,"New York, New York","New York-Newark-Jersey City, NY-NJ-PA Metro Area",13.2,19990592,13.4,56.3,43.7,0.341154665,4.336801582,3.404640516
BLK,BlackRock,Laurence D Fink,2,6/10/1905,67,MBA,3,Asset Management & Custody Banks,"New York, New York","New York-Newark-Jersey City, NY-NJ-PA Metro Area",13.2,19990592,13.4,56.3,43.7,0.341154665,4.336801582,3.404640516
BA,Boeing,Dave Calhoun,2,1/1/2020,62,BA,4,Asset Management & Custody Banks,"New York, New York","New York-Newark-Jersey City, NY-NJ-PA Metro Area",13.2,19990592,13.4,56.3,43.7,0.341154665,4.336801582,3.404640516
BMY,Bristol-Myers Squibb,Giovanni Caforio,2,5/1/2015,55,MD,2,Health Care Distributors,"New York, New York","New York-Newark-Jersey City, NY-NJ-PA Metro Area",13.2,19990592,13.4,56.3,43.7,0.341154665,4.336801582,3.404640516
CPRI,Capri Holdings,John Idol,2,12/1/2003,61,,,"Apparel, Accessories & Luxury Goods","New York, New York","New York-Newark-Jersey City, NY-NJ-PA Metro Area",13.2,19990592,13.4,56.3,43.7,0.341154665,4.336801582,3.404640516
CMCSA,Comcast,Brian L. Roberts,2,11/2/2020,60,MS,3,Household Products,"New York, New York","New York-Newark-Jersey City, NY-NJ-PA Metro Area",13.2,19990592,13.4,56.3,43.7,0.341154665,4.336801582,3.404640516
GS,Goldman Sachs Group,David M Solomon,2,10/1/2018,58,BA,2,Investment Banking & Brokerage,"New York, New York","New York-Newark-Jersey City, NY-NJ-PA Metro Area",13.2,19990592,13.4,56.3,43.7,0.341154665,4.336801582,3.404640516
MCO,Moody's Corp,Raymond W. McDaniel Jr.,2,4/1/2005,62,JD,,Financial Exchanges & Data,"New York, New York","New York-Newark-Jersey City, NY-NJ-PA Metro Area",13.2,19990592,13.4,56.3,43.7,0.341154665,4.336801582,3.404640516
MS,Morgan Stanley,James P. Gorman,2,1/1/2010,61,BA,2,Investment Banking & Brokerage,"New York, New York","New York-Newark-Jersey City, NY-NJ-PA Metro Area",13.2,19990592,13.4,56.3,43.7,0.341154665,4.336801582,3.404640516
MSCI,MSCI Inc,Henry A. Fernandez,2,6/20/1905,61,MBA,3,Financial Exchanges & Data,"New York, New York","New York-Newark-Jersey City, NY-NJ-PA Metro Area",13.2,19990592,13.4,56.3,43.7,0.341154665,4.336801582,3.404640516
NWSA,News Corp. Class A,Robert James Thomson,2,1/1/2013,59,BS,2,Publishing,"New York, New York","New York-Newark-Jersey City, NY-NJ-PA Metro Area",13.2,19990592,13.4,56.3,43.7,0.341154665,4.336801582,3.404640516
NLSN,Nielsen Holdings,David Kenny,2,12/3/2018,57,MBA,2,Research & Consulting Services,"New York, New York","New York-Newark-Jersey City, NY-NJ-PA Metro Area",13.2,19990592,13.4,56.3,43.7,0.341154665,4.336801582,3.404640516
OMC,Omnicom Group,John Wren,2,6/19/1905,67,MBA,2,Advertising,"New York, New York","New York-Newark-Jersey City, NY-NJ-PA Metro Area",13.2,19990592,13.4,56.3,43.7,0.341154665,4.336801582,3.404640516
RL,Ralph Lauren Corporation,Patrice Louvet,2,7/17/2017,56,MBA,2,"Apparel, Accessories & Luxury Goods","New York, New York","New York-Newark-Jersey City, NY-NJ-PA Metro Area",13.2,19990592,13.4,56.3,43.7,0.341154665,4.336801582,3.404640516
SPGI,"S&P Global, Inc.",Douglas L. Peterson,2,11/1/2013,61,MBA,2,Financial Exchanges & Data,"New York, New York","New York-Newark-Jersey City, NY-NJ-PA Metro Area",13.2,19990592,13.4,56.3,43.7,0.341154665,4.336801582,3.404640516
SLG,SL Green Realty,Marc Holliday,2,6/26/1905,52,MS,,Office REITs,"New York, New York","New York-Newark-Jersey City, NY-NJ-PA Metro Area",13.2,19990592,13.4,56.3,43.7,0.341154665,4.336801582,3.404640516
TTWO,Take-Two Interactive,Strauss Zelnick,2,1/1/2011,62,MBA,3,Interactive Home Entertainment,"New York, New York","New York-Newark-Jersey City, NY-NJ-PA Metro Area",13.2,19990592,13.4,56.3,43.7,0.341154665,4.336801582,3.404640516
TPR,"Tapestry, Inc.",Jide J. Zeitlin,2,9/1/2019,55,MBA,,"Apparel, Accessories & Luxury Goods","New York, New York","New York-Newark-Jersey City, NY-NJ-PA Metro Area",13.2,19990592,13.4,56.3,43.7,0.341154665,4.336801582,3.404640516
VRTX,Vertex,Reshma Kewalramani,1,4/1/2020,47,MBA,2,Integrated Telecommunication Services,"New York, New York","New York-Newark-Jersey City, NY-NJ-PA Metro Area",13.2,19990592,13.4,56.3,43.7,0.341154665,4.336801582,3.404640516
V,Visa,Alfred F Kelly Jr,2,12/1/2016,61,MBA,5,Movies & Entertainment,"New York, New York","New York-Newark-Jersey City, NY-NJ-PA Metro Area",13.2,19990592,13.4,56.3,43.7,0.341154665,4.336801582,3.404640516
CMG,Chipotle Mexican Grill,Brian Niccol,2,2/13/2018,46,MBA,3,Restaurants,"Newport Beach, California","Los Angeles-Long Beach-Anaheim, CA Metro Area",19.4,13262234,14.9,54.9,45.1,0.341349711,4.270359501,3.371696035
IBM,IBM,Virginia Rometty,1,1/12/2020,62,BS,0,Aerospace & Defense,"Newport News, Virginia","Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",6.8,1722001,11.7,51.9,48.1,0.337238411,4.434925865,3.48019802
NSC,Norfolk Southern Corp.,James A Squires,2,6/1/2015,57,JD,,Railroads,"Norfolk, Virginia","Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",6.8,1722001,11.7,51.9,48.1,0.337238411,4.434925865,3.48019802
ABT,Abbott Laboratories,Miles D White,2,6/21/1905,65,MBA,3,Health Care Equipment,"North Chicago, Illinois","Chicago-Naperville-Elgin, IL-IN-WI Metro Area",11.3,9536428,12.5,55.3,44.7,0.34690253,4.373612139,3.451666667
ABBV,AbbVie Inc.,Richard Gonzalez,2,1/1/2013,66,some college,,Pharmaceuticals,"North Chicago, Illinois","Chicago-Naperville-Elgin, IL-IN-WI Metro Area",11.3,9536428,12.5,55.3,44.7,0.34690253,4.373612139,3.451666667
CERN,Cerner,Brent Shafer ,2,2/1/2018,60,BS,3,Health Care Technology,"North Kansas City, Missouri","Kansas City, MO-KS Metro Area",8.1,2106632,11,54.5,45.5,0.32487234,4.386867791,3.458259325
ALL,Allstate Corp,Thomas Wilson,2,1/1/2007,61,MBA,,Property & Casualty Insurance,"Northfield Township, Illinois","Chicago-Naperville-Elgin, IL-IN-WI Metro Area",11.3,9536428,12.5,55.3,44.7,0.34690253,4.373612139,3.451666667
GOOGL,Alphabet,Sundar Pichai,2,12/3/2019,47,MBA,2,Property & Casualty Insurance,"Northfield Township, Illinois","Chicago-Naperville-Elgin, IL-IN-WI Metro Area",11.3,9536428,12.5,55.3,44.7,0.34690253,4.373612139,3.451666667
BKNG,Booking Holdings Inc,Glenn D Fogel,2,1/1/2017,57,JD,2,Internet & Direct Marketing Retail,"Norwalk, Connecticut","Bridgeport-Stamford-Norwalk, CT Metro Area",10.5,944348,8.8,60.2,39.8,0.346499332,4.32460733,3.488656195
DVN,Devon Energy,David A Hager,2,8/1/2015,63,MBA ,3,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma","Oklahoma City, OK Metro Area",11.4,1369759,14.4,54.7,45.3,0.376302915,4.290801187,3.352592593
DRI,Darden Restaurants,Eugene I. Lee Jr. ,2,2/1/2015,59,MBA ,,Restaurants,"Orlando, Florida","Orlando-Kissimmee-Sanford, FL Metro Area",9.3,2450261,14.7,54.4,45.6,0.335398826,4.284574468,3.457927369
VTR,Ventas,Debra Cafaro,1,6/21/1905,62,JD,2,Health Care Equipment,"Palo Alto, California","San Francisco-Oakland-Hayward, CA Metro Area",9.2,4673221,9.5,53.1,46.9,0.326010361,4.339497392,3.408347166
ARE,Alexandria Real Estate Equities,Joel Marcus,2,3/1/1997,71,JD,3,Office REITs,"Pasadena, California","Los Angeles-Long Beach-Anaheim, CA Metro Area",19.4,13262234,14.9,54.9,45.1,0.341349711,4.270359501,3.371696035
GPS,Gap,Sonia Syngal,1,3/23/2020,49,MS,2,Copper,"Phoenix, Arizona","Phoenix-Mesa-Scottsdale, AZ Metro Area",15.1,4673634,14.7,55.3,44.7,0.362440566,4.372289157,3.384569017
ADS,Alliance Data Systems,Ralph Andretta,2,2/1/2020,57,BA,,Data Processing & Outsourced Services,"Plano, Texas","Dallas-Fort Worth-Arlington, TX Metro Area",16,7255028,12.6,55.5,44.5,0.340036237,4.437026344,3.417419588
NRG,NRG Energy,Mauricio Gutierrez,2,12/4/2015,49,MS,3,Independent Power Producers & Energy Traders,"Princeton, New Jersey","Trenton, NJ Metro Area",14.2,368762,11.4,56.2,43.8,0.406402027,4.385,3.306930693
TXT,Textron Inc.,Scott C. Donnelly,2,12/1/2009,59,BS,,Aerospace & Defense,"Providence, Rhode Island","Providence-Warwick, RI-MA Metro Area",9.4,1615516,12.5,52.9,47.1,0.342664664,4.177095632,3.352179034
HD,The home depot,Craig Menear,2,11/14/2020,62,MBA,2,Aerospace & Defense,"Providence, Rhode Island","Providence-Warwick, RI-MA Metro Area",9.4,1615516,12.5,52.9,47.1,0.342664664,4.177095632,3.352179034
AAP,Advance Auto Parts,Thomas R Greco,2,4/1/2016,60,MBA,,Automotive Retail,"Raleigh, North Carolina","Raleigh, NC Metro Area",8.8,1302632,10.5,54,46,0.362086854,4.384349827,3.473502304
#N/A,Advanced,Lisa Su,1,10/14/2020,50,PhD,,Automotive Retail,"Raleigh, North Carolina","Raleigh, NC Metro Area",8.8,1302632,10.5,54,46,0.362086854,4.384349827,3.473502304
ORLY,O'Reilly Automotive,Gregory D. Johnson,2,7/10/1905,54,MIS,,Application Software,"Redwood Shores, California","San Francisco-Oakland-Hayward, CA Metro Area",9.2,4673221,9.5,53.1,46.9,0.326010361,4.339497392,3.408347166
NVR,NVR Inc,Paul C. Saville,2,7/1/2005,64,MBA,,Homebuilding,"Reston, VA","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",9.6,6138382,8,52.1,47.9,0.342364141,4.349400267,3.430854606
OXY,Occidenal,Vicki Hollub,1,4/16/2020,60,BS,,Homebuilding,"Reston, VA","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",9.6,6138382,8,52.1,47.9,0.342364141,4.349400267,3.430854606
MO,Altria Group Inc,Howard Willard,2,5/1/2018,56,MBA,,Tobacco,"Richmond, Virginia","Richmond, VA Metro Area",8.8,1281530,11.8,52.4,47.6,0.34483545,4.252413793,3.367403315
AMZN,Amazon,Jeff Bezos,2,5/1/1996,56,BS,4,Tobacco,"Richmond, Virginia","Richmond, VA Metro Area",8.8,1281530,11.8,52.4,47.6,0.34483545,4.252413793,3.367403315
KMX,Carmax Inc,William D Nash,2,9/1/2016,50,BS,,Specialty Stores,"Richmond, Virginia","Richmond, VA Metro Area",8.8,1281530,11.8,52.4,47.6,0.34483545,4.252413793,3.367403315
DFS,Discover Financial Services,Roger C Hochschild,2,10/1/2018,55,MBA,,Consumer Finance,"Riverwoods, Illinois","Chicago-Naperville-Elgin, IL-IN-WI Metro Area",11.3,9536428,12.5,55.3,44.7,0.34690253,4.373612139,3.451666667
ADP,Automatic Data Processing,Carlos Rodriguez,2,11/1/2011,55,MBA,,Internet Services & Infrastructure,"Roseland, New Jersey","New York-Newark-Jersey City, NY-NJ-PA Metro Area",13.2,19990592,13.4,56.3,43.7,0.341154665,4.336801582,3.404640516
REG,Regency Centers,Lisa Palmer,1,1/1/2020,52,MBA,,Retail REITs,"San Diego, California","San Diego-Carlsbad, CA Metro Area",9.2,3302833,12.5,55.9,44.1,0.342725296,4.301822323,3.383390216
SRE,Sempra Energy,Jeffrey W. Martin,2,5/1/2018,58,"Masters, JD",,Multi-Utilities,"San Diego, California","San Diego-Carlsbad, CA Metro Area",9.2,3302833,12.5,55.9,44.1,0.342725296,4.301822323,3.383390216
SCHW,Charles Schwab Corporation,Water W Bettinger II,2,10/1/2008,59,BA,,Investment Banking & Brokerage,"San Francisco, California","San Francisco-Oakland-Hayward, CA Metro Area",9.2,4673221,9.5,53.1,46.9,0.326010361,4.339497392,3.408347166
DLR,Digital Realty Trust Inc,William Stein,2,1/1/2014,66,MS,,Specialized REITs,"San Francisco, California","San Francisco-Oakland-Hayward, CA Metro Area",9.2,4673221,9.5,53.1,46.9,0.326010361,4.339497392,3.408347166
CRM,Salesforce.com,Marc Benioff,2,3/1/1999,55,BS,2,Application Software,"San Francisco, California","San Francisco-Oakland-Hayward, CA Metro Area",9.2,4673221,9.5,53.1,46.9,0.326010361,4.339497392,3.408347166
WFC,WellsFargo,Charles W. Scharf,2,10/1/2020,55,MBA,,Diversified Banks,"San Francisco, California","San Francisco-Oakland-Hayward, CA Metro Area",9.2,4673221,9.5,53.1,46.9,0.326010361,4.339497392,3.408347166
ALGN,Align Technology,Joseph Hogan,2,6/1/2015,62,MBA,3,Health Care Supplies,"San Jose, California","San Jose-Sunnyvale-Santa Clara, CA Metro Area",10.8,1981616,8,54.5,45.5,0.315941432,4.380359613,3.434210526
AVGO,Broadcom Inc.,Hock E Tan,2,3/1/2006,67,MBA,3,Semiconductors,"San Jose, California","San Jose-Sunnyvale-Santa Clara, CA Metro Area",10.8,1981616,8,54.5,45.5,0.315941432,4.380359613,3.434210526
CDNS,Cadence Design Systems,Lip-Bu Tan,2,1/1/2009,60,MBA,2,Application Software,"San Jose, California","San Jose-Sunnyvale-Santa Clara, CA Metro Area",10.8,1981616,8,54.5,45.5,0.315941432,4.380359613,3.434210526
PYPL,PayPal,Dan Schulman,2,9/30/2014,62,MBA,2,Data Processing & Outsourced Services,"San Jose, California","San Jose-Sunnyvale-Santa Clara, CA Metro Area",10.8,1981616,8,54.5,45.5,0.315941432,4.380359613,3.434210526
BEN,Franklin Resources,Jennifer Johnson,1,11/21/2019,55,BA,5,Asset Management & Custody Banks,"San Mateo, California","San Jose-Sunnyvale-Santa Clara, CA Metro Area",10.8,1981616,8,54.5,45.5,0.315941432,4.380359613,3.434210526
ADSK,Autodesk Inc.,Andrew Anagnost,2,6/1/2017,54,PhD,,Application Software,"San Rafael, California","San Jose-Sunnyvale-Santa Clara, CA Metro Area",10.8,1981616,8,54.5,45.5,0.315941432,4.380359613,3.434210526
A,Agilent Technologies Inc,Michael McMullen,2,3/1/2015,59,MBA,2,Health Care Equipment,"Santa Clara, California","San Jose-Sunnyvale-Santa Clara, CA Metro Area",10.8,1981616,8,54.5,45.5,0.315941432,4.380359613,3.434210526
AIV,AIMCO,Terry Considine,2,7/1/1994,73,JD,3,Health Care Equipment,"Santa Clara, California","San Jose-Sunnyvale-Santa Clara, CA Metro Area",10.8,1981616,8,54.5,45.5,0.315941432,4.380359613,3.434210526
AMAT,Applied Materials Inc.,Gary Dickerson,2,9/1/2013,64,MBA,,Semiconductor Equipment,"Santa Clara, California","San Jose-Sunnyvale-Santa Clara, CA Metro Area",10.8,1981616,8,54.5,45.5,0.315941432,4.380359613,3.434210526
ANET,Arista Networks,Jayshree V. Ullal,1,10/8/2020,59,MS,2,Communications Equipment,"Santa Clara, California","San Jose-Sunnyvale-Santa Clara, CA Metro Area",10.8,1981616,8,54.5,45.5,0.315941432,4.380359613,3.434210526
NVDA,Nvidia Corporation,Jensen Huang,2,6/15/1905,57,MS,2,Semiconductors,"Santa Clara, California","San Jose-Sunnyvale-Santa Clara, CA Metro Area",10.8,1981616,8,54.5,45.5,0.315941432,4.380359613,3.434210526
NOW,ServiceNow,Bill McDermott,2,11/1/2019,58,MBA,2,Systems Software,"Santa Clara, California","San Jose-Sunnyvale-Santa Clara, CA Metro Area",10.8,1981616,8,54.5,45.5,0.315941432,4.380359613,3.434210526
SIVB,SVB Financial,Greg Becker ,2,4/1/2011,52,BS,,Regional Banks,"Santa Clara, California","San Jose-Sunnyvale-Santa Clara, CA Metro Area",10.8,1981616,8,54.5,45.5,0.315941432,4.380359613,3.434210526
SYF,Synchrony,Margaret M. Keane,1,2/1/2014,60,MBA,2,Regional Banks,"Santa Clara, California","San Jose-Sunnyvale-Santa Clara, CA Metro Area",10.8,1981616,8,54.5,45.5,0.315941432,4.380359613,3.434210526
ATVI,Activision Blizzard,Bobby Kotick ,2,2/1/1991,56,BA,1,Interactive Home Entertainment,"Santa Monica, California","Los Angeles-Long Beach-Anaheim, CA Metro Area",19.4,13262234,14.9,54.9,45.1,0.341349711,4.270359501,3.371696035
ADBE,Adobe,Shantanu Narayen,2,12/7/2020,56,MS,2,Interactive Home Entertainment,"Santa Monica, California","Los Angeles-Long Beach-Anaheim, CA Metro Area",19.4,13262234,14.9,54.9,45.1,0.341349711,4.270359501,3.371696035
ROST,Ross,Barbara Rentler,1,6/14/2020,62,,,Industrial Conglomerates,"Sarasota, Florida","North Port-Sarasota-Bradenton, FL Metro Area",12.4,785997,11,56.7,43.3,0.411463901,4.449541284,3.227272727
ALK,Alaska Air Group Inc,Bradley D Tilden,2,5/1/2012,59,MBA,3,Airlines,"Seattle, Washington","Seattle-Tacoma-Bellevue, WA Metro Area",7.7,3809717,9.6,53.8,46.2,0.318362871,4.365116828,3.494928049
AMZN,Amazon.com Inc.,Jeff Bezos,2,5/1/1996,56,BS,4,Internet & Direct Marketing Retail,"Seattle, Washington","Seattle-Tacoma-Bellevue, WA Metro Area",7.7,3809717,9.6,53.8,46.2,0.318362871,4.365116828,3.494928049
FB,Facebook,mark zuckerburg,2,6/26/1905,35,BS,2,Communications Equipment,"Seattle, Washington","Seattle-Tacoma-Bellevue, WA Metro Area",7.7,3809717,9.6,53.8,46.2,0.318362871,4.365116828,3.494928049
JWN,Nordstrom,Erik B Nordstrom ,2,3/3/2020,55,Bachelor,,Department Stores,"Seattle, Washington","Seattle-Tacoma-Bellevue, WA Metro Area",7.7,3809717,9.6,53.8,46.2,0.318362871,4.365116828,3.494928049
SBUX,Starbucks Corp.,Kevin Johnson,2,7/9/1905,59,Doctor of Letters,2,Restaurants,"Seattle, Washington","Seattle-Tacoma-Bellevue, WA Metro Area",7.7,3809717,9.6,53.8,46.2,0.318362871,4.365116828,3.494928049
CNC,Centene Corporation,Michael F Neidorff,2,5/1/1996,77,MA,2,Managed Health Care,"St Louis, Missouri","St. Louis, MO-IL Metro Area",12.4,2805551,11.9,54,46,0.369793982,4.305009512,3.377466582
AEE,Ameren Corp,Warner Baxter,2,4/1/2014,58,BS,4,Multi-Utilities,"St. Louis, Missouri","St. Louis, MO-IL Metro Area",12.4,2805551,11.9,54,46,0.369793982,4.305009512,3.377466582
MMM,3M Company,Mike Roman,2,7/1/2018,58,MS,2,Industrial Conglomerates,"St. Paul, Minnesota","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",7,3557528,9,53.2,46.8,0.346231977,4.305490654,3.479087452
AOS,A.O. Smith Corp,Ajita G. Rajendra,2,9/1/2018,64,MBA,,Industrial Conglomerates,"St. Paul, Minnesota","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",7,3557528,9,53.2,46.8,0.346231977,4.305490654,3.479087452
CVX,Chevron,Mike Wirth,2,2/18/2020,60,BS,4,Cable & Satellite,"Stamford, Connecticut","Bridgeport-Stamford-Norwalk, CT Metro Area",10.5,944348,8.8,60.2,39.8,0.346499332,4.32460733,3.488656195
FTNT,Fortinet,Ken Xie,2,10/1/2000,57,MS,,Systems Software,"Sunnyvale, California","San Jose-Sunnyvale-Santa Clara, CA Metro Area",10.8,1981616,8,54.5,45.5,0.315941432,4.380359613,3.434210526
NTAP,NetApp,George Kurian,2,6/1/2015,52,MBA,2,"Technology Hardware, Storage & Peripherals","Sunnyvale, California","San Jose-Sunnyvale-Santa Clara, CA Metro Area",10.8,1981616,8,54.5,45.5,0.315941432,4.380359613,3.434210526
NLOK,NortonLifeLock,Vincent Pilette,2,11/1/2019,47,MBA,,Application Software,"Tempe, Arizona","Phoenix-Mesa-Scottsdale, AZ Metro Area",15.1,4673634,14.7,55.3,44.7,0.362440566,4.372289157,3.384569017
ODFL,Old Dominion Freight Line,Greg C. Gantt,2,5/1/2018,64,BS,,Trucking,"Thomasville, North Carolina","Raleigh, NC Metro Area",8.8,1302632,10.5,54,46,0.362086854,4.384349827,3.473502304
